COVID19 статистике,2020-03-09,
COVID-19 статистике заражени,Заражено укупно,
Ранк,Територија,Вредност
1,Град Београд,3.0
2,Бачка Топола,1.0
3,Аранђеловац,0.0
3,Ариље,0.0
3,Бабушница,0.0
3,Бајина Башта,0.0
3,Баточина,0.0
3,Бела Паланка,0.0
3,Блаце,0.0
3,Богатић,0.0
3,Бојник,0.0
3,Бољевац,0.0
3,Бор,0.0
3,Босилеград,0.0
3,Брус,0.0
3,Бујановац,0.0
3,Ваљево,0.0
3,Варварин,0.0
3,Велика Плана,0.0
3,Велико Градиште,0.0
3,Владимирци,0.0
3,Владичин Хан,0.0
3,Власотинце,0.0
3,Врање,0.0
3,Врњачка Бања,0.0
3,Гаџин Хан,0.0
3,Голубац,0.0
3,Горњи Милановац,0.0
3,Деспотовац,0.0
3,Димитровград,0.0
3,Дољевац,0.0
3,Жабари,0.0
3,Жагубица,0.0
3,Житорађа,0.0
3,Зајечар,0.0
3,Ивањица,0.0
3,Кладово,0.0
3,Кнић,0.0
3,Књажевац,0.0
3,Косјерић,0.0
3,Коцељева,0.0
3,Крагујевац,0.0
3,Краљево,0.0
3,Крупањ,0.0
3,Крушевац,0.0
3,Куршумлија,0.0
3,Кучево,0.0
3,Лајковац,0.0
3,Лебане,0.0
3,Лесковац ,0.0
3,Лозница,0.0
3,Лучани,0.0
3,Љиг,0.0
3,Љубовија,0.0
3,Мајданпек,0.0
3,Мали Зворник,0.0
3,Мало Црниће,0.0
3,Медвеђа,0.0
3,Мерошина,0.0
3,Мионица,0.0
3,Неготин,0.0
3,Нова Варош,0.0
3,Нови Пазар,0.0
3,Осечина,0.0
3,Параћин,0.0
3,Петровац на Млави,0.0
3,Пирот,0.0
3,Пожаревац,0.0
3,Пожега,0.0
3,Прешево,0.0
3,Прибој,0.0
3,Пријепоље,0.0
3,Прокупље,0.0
3,Ражањ,0.0
3,Рача,0.0
3,Рашка,0.0
3,Рековац,0.0
3,Јагодина,0.0
3,Свилајнац,0.0
3,Сврљиг,0.0
3,Сјеница,0.0
3,Смедерево,0.0
3,Смедеревска Паланка,0.0
3,Сокобања,0.0
3,Сурдулица,0.0
3,Ужице,0.0
3,Топола,0.0
3,Трговиште,0.0
3,Трстеник,0.0
3,Тутин,0.0
3,Ћићевац,0.0
3,Ћуприја,0.0
3,Уб,0.0
3,Црна Трава,0.0
3,Чајетина,0.0
3,Чачак,0.0
3,Шабац,0.0
3,Лапово,0.0
3,Костолац,0.0
3,Врањска Бања,0.0
3,Севојно,0.0
3,Град Ниш,0.0
3,Ада,0.0
3,Алибунар,0.0
3,Апатин,0.0
3,Бач,0.0
3,Бачка Паланка,0.0
3,Бачки Петровац,0.0
3,Бела Црква,0.0
3,Беочин,0.0
3,Бечеј,0.0
3,Вршац,0.0
3,Жабаљ,0.0
3,Житиште,0.0
3,Зрењанин,0.0
3,Инђија,0.0
3,Ириг,0.0
3,Кањижа,0.0
3,Кикинда,0.0
3,Ковачица,0.0
3,Ковин,0.0
3,Кула,0.0
3,Мали Иђош,0.0
3,Нова Црња,0.0
3,Нови Бечеј,0.0
3,Нови Кнежевац,0.0
3,Нови Сад ,0.0
3,Опово,0.0
3,Оџаци,0.0
3,Панчево,0.0
3,Пећинци,0.0
3,Пландиште,0.0
3,Рума,0.0
3,Сента,0.0
3,Сечањ,0.0
3,Сомбор,0.0
3,Србобран,0.0
3,Сремска Митровица,0.0
3,Сремски Карловци,0.0
3,Стара Пазова,0.0
3,Суботица,0.0
3,Темерин,0.0
3,Тител,0.0
3,Врбас,0.0
3,Чока,0.0
3,Шид,0.0
3,Александровац,0.0
3,Петроварадин,0.0
3,Алексинац,0.0
